0,12
1,13289
2,25447
3,40537
4,58323
5,82357
6,110500
7,135975
8,162539
9,192043
10,229921
11,269945
12,316912
13,363274
14,413390
15,465434
16,528128
17,599527
18,668141
19,756178
20,863299
21,947920
22,1039412
23,1135086
24,1234504
25,1351024
26,1468739
27,1591344
28,1710189
29,1841564
30,1973260
31,2117545
32,2260612
33,2409996
34,2578958
35,2756219
36,2930749
37,3123485
38,3315340
39,3535727
40,3745163
41,3992975
42,4242948
43,4496214
44,4763937
45,5058323
46,5346738
47,5643047
48,5911798
49,6204655
50,6587336
51,6943030
52,7321353
53,7720239
54,8119633
55,8542808
56,8936067
57,9405297
58,9892509
59,10418642
60,10944921
61,11420988
62,11892123
63,12348006
64,12781106
65,13249958
66,13770204
67,14294387
68,14800487
69,15364151
70,15916414
71,16587339
72,17163296
73,17717940
74,18340485
75,18812107
76,19289867
77,19892911
78,20519862
79,21015446
80,21529058
81,22059455
82,22610195
83,23157071
84,23652459
85,24118623
86,24619934
87,25154957
88,25667175
89,26211237
90,26793632
91,27391324
92,27959950
93,28523999
94,29186880
95,29879638
96,30594891
97,31070646
98,31586197
99,32109820
100,32705907
101,33229427
102,33814255
103,34396776
104,35039030
105,35750675
106,36348259
107,36943505
108,37616160
109,38235769
110,38857305
111,39426047
112,40033790
113,40660657
114,41269828
115,41878641
116,42496389
117,43137276
118,43735917
119,44381829
120,45084563
121,46201709
122,46829730
123,47431725
124,48194715
125,48865457
126,49594918
127,50453177
128,51141048
129,51880485
130,52653610
131,53377652
132,54091009
133,54873949
134,55679468
135,56290340
